date,advances,declines,unchanged,ad_diff,ad_line
20240425,504,1030,191,-526,49474.0
20240426,737,778,210,-41,49433.0
20240429,1153,360,212,793,50226.0
20240430,817,686,222,131,50357.0
20240501,0,0,1725,0,50357.0
20240502,811,715,201,96,50453.0
20240503,753,741,233,12,50465.0
20240506,0,0,1727,0,50465.0
20240507,920,602,207,318,50783.0
20240508,895,638,196,257,51040.0
20240509,540,990,199,-450,50590.0
20240510,694,839,196,-145,50445.0
20240513,487,1043,199,-556,49889.0
20240514,1019,515,194,504,50393.0
20240515,0,0,1728,0,50393.0
20240516,895,645,188,250,50643.0
20240517,496,1045,189,-549,50094.0
20240520,501,1044,185,-543,49551.0
20240521,621,931,178,-310,49241.0
20240522,603,913,214,-310,48931.0
20240523,656,872,203,-216,48715.0
20240524,489,1051,191,-562,48153.0
20240527,686,849,196,-163,47990.0
20240528,790,739,202,51,48041.0
20240529,401,1179,152,-778,47263.0
20240530,484,1076,172,-592,46671.0
20240531,774,754,204,20,46691.0
20240603,1024,515,193,509,47200.0
20240604,494,1068,170,-574,46626.0
20240605,628,903,201,-275,46351.0
20240606,0,0,1732,0,46351.0
20240607,794,734,203,60,46411.0
20240610,699,851,181,-152,46259.0
20240611,608,934,189,-326,45933.0
20240612,855,682,194,173,46106.0
20240613,713,823,195,-110,45996.0
20240614,488,1070,174,-582,45414.0
20240617,567,1003,161,-436,44978.0
20240618,623,935,174,-312,44666.0
20240619,601,946,188,-345,44321.0
20240620,700,842,193,-142,44179.0
20240621,370,1200,165,-830,43349.0
20240624,356,1239,142,-883,42466.0
20240625,823,731,183,92,42558.0
20240626,743,817,178,-74,42484.0
20240627,492,1067,180,-575,41909.0
20240628,874,679,187,195,42104.0
20240701,862,702,176,160,42264.0
20240702,338,1249,153,-911,41353.0
20240703,430,1151,160,-721,40632.0
20240704,667,881,193,-214,40418.0
20240705,696,857,188,-161,40257.0
20240708,1121,442,178,679,40936.0
20240709,839,707,195,132,41068.0
20240710,744,788,208,-44,41024.0
20240711,669,869,202,-200,40824.0
20240712,666,882,193,-216,40608.0
20240715,845,706,191,139,40747.0
20240716,518,1042,182,-524,40223.0
20240717,557,1003,182,-446,39777.0
20240718,362,1213,167,-851,38926.0
20240719,762,813,167,-51,38875.0
20240722,375,1220,147,-845,38030.0
20240723,691,866,185,-175,37855.0
20240724,701,849,192,-148,37707.0
20240725,298,1290,154,-992,36715.0
20240726,833,717,192,116,36831.0
20240729,1000,557,184,443,37274.0
20240730,412,1176,153,-764,36510.0
20240731,831,723,188,108,36618.0
20240801,1186,387,169,799,37417.0
20240802,146,1476,120,-1330,36087.0
20240805,23,1633,86,-1610,34477.0
20240806,1521,115,107,1406,35883.0
20240807,1305,290,148,1015,36898.0
20240808,634,946,163,-312,36586.0
20240809,1371,231,141,1140,37726.0
20240812,1200,379,165,821,38547.0
20240813,488,1071,186,-583,37964.0
20240814,1172,396,177,776,38740.0
20240815,0,0,1745,0,38740.0
20240816,863,693,190,170,38910.0
20240819,506,1105,135,-599,38311.0
20240820,1161,421,166,740,39051.0
20240821,552,1016,181,-464,38587.0
20240822,365,1214,172,-849,37738.0
20240823,530,1034,188,-504,37234.0
20240826,411,1174,167,-763,36471.0
20240827,750,811,191,-61,36410.0
20240828,560,1023,169,-463,35947.0
20240829,413,1179,160,-766,35181.0
20240830,1147,407,199,740,35921.0
20240902,598,971,184,-373,35548.0
20240903,571,994,188,-423,35125.0
20240904,120,1507,126,-1387,33738.0
20240905,560,1010,183,-450,33288.0
20240906,209,1387,156,-1178,32110.0
20240909,970,604,178,366,32476.0
20240910,455,1139,158,-684,31792.0
20240911,659,894,200,-235,31557.0
20240912,1429,183,141,1246,32803.0
20240913,831,730,192,101,32904.0
20240916,0,0,1753,0,32904.0
20240917,0,0,1753,0,32904.0
20240918,0,0,1753,0,32904.0
20240919,732,839,182,-107,32797.0
20240920,997,570,186,427,33224.0
20240923,781,789,184,-8,33216.0
20240924,1087,458,208,629,33845.0
20240925,780,789,185,-9,33836.0
20240926,1298,295,161,1003,34839.0
20240927,706,858,190,-152,34687.0
20240930,357,1261,137,-904,33783.0
20241001,0,0,1755,0,33783.0
20241002,396,1201,158,-805,32978.0
20241003,0,0,1755,0,32978.0
20241004,791,780,184,11,32989.0
20241007,1117,460,177,657,33646.0
20241008,546,1025,183,-479,33167.0
20241009,0,0,1754,0,33167.0
20241010,548,1019,187,-471,32696.0
20241011,589,986,179,-397,32299.0
20241014,793,763,198,30,32329.0
20241015,771,782,201,-11,32318.0
20241016,472,1112,171,-640,31678.0
20241017,634,924,197,-290,31388.0
20241018,417,1168,172,-751,30637.0
20241021,808,749,201,59,30696.0
20241022,242,1360,156,-1118,29578.0
20241023,950,621,187,329,29907.0
20241024,389,1216,154,-827,29080.0
20241025,440,1167,154,-727,28353.0
20241028,1116,488,158,628,28981.0
20241029,798,762,202,36,29017.0
20241030,652,928,182,-276,28741.0
20241031,882,678,204,204,28945.0
20241101,393,1189,184,-796,28149.0
20241104,1233,356,177,877,29026.0
20241105,943,637,187,306,29332.0
20241106,497,1110,159,-613,28719.0
20241107,528,1051,187,-523,28196.0
20241108,865,708,194,157,28353.0
20241111,291,1331,145,-1040,27313.0
20241112,185,1464,119,-1279,26034.0
20241113,224,1411,134,-1187,24847.0
20241114,541,1066,162,-525,24322.0
20241115,953,664,153,289,24611.0
20241118,1017,596,159,421,25032.0
20241119,820,763,191,57,25089.0
20241120,617,974,185,-357,24732.0
20241121,569,1029,179,-460,24272.0
20241122,821,758,197,63,24335.0
20241125,1222,391,163,831,25166.0
20241126,912,654,210,258,25424.0
20241127,646,958,172,-312,25112.0
20241128,740,850,187,-110,25002.0
20241129,323,1298,156,-975,24027.0
20241202,371,1250,156,-879,23148.0
20241203,1129,465,183,664,23812.0
20241204,307,1329,140,-1022,22790.0
20241205,436,1178,162,-742,22048.0
20241206,332,1300,144,-968,21080.0
20241209,117,1552,107,-1435,19645.0
20241210,1591,75,110,1516,21161.0
20241211,1466,188,123,1278,22439.0
20241212,974,626,178,348,22787.0
20241213,1252,357,169,895,23682.0
20241216,1113,484,182,629,24311.0
20241217,761,843,175,-82,24229.0
20241218,938,656,186,282,24511.0
20241219,372,1247,162,-875,23636.0
20241220,261,1388,133,-1127,22509.0
20241223,1145,487,150,658,23167.0
20241224,602,1006,175,-404,22763.0
20241225,0,0,1783,0,22763.0
20241226,496,1150,138,-654,22109.0
20241227,347,1287,150,-940,21169.0
20241230,1138,488,158,650,21819.0
20241231,0,0,1784,0,21819.0
20250101,0,0,1784,0,21819.0
20250102,1195,446,143,749,22568.0
20250103,1285,344,155,941,23509.0
20250106,1268,363,153,905,24414.0
20250107,685,921,178,-236,24178.0
20250108,835,763,185,72,24250.0
20250109,681,890,212,-209,24041.0
20250110,737,862,184,-125,23916.0
20250113,367,1265,151,-898,23018.0
20250114,1043,543,197,500,23518.0
20250115,513,1088,182,-575,22943.0
20250116,1123,484,176,639,23582.0
20250117,673,915,195,-242,23340.0
20250120,674,930,179,-256,23084.0
20250121,696,916,171,-220,22864.0
20250122,748,855,180,-107,22757.0
20250123,381,1251,153,-870,21887.0
20250124,908,669,211,239,22126.0
20250127,0,0,1788,0,22126.0
20250128,0,0,1788,0,22126.0
20250129,0,0,1788,0,22126.0
20250130,0,0,1788,0,22126.0
20250131,578,1042,168,-464,21662.0
20250203,260,1401,128,-1141,20521.0
20250204,1328,313,149,1015,21536.0
20250205,1145,491,154,654,22190.0
20250206,954,649,187,305,22495.0
20250207,651,966,173,-315,22180.0
20250210,943,676,170,267,22447.0
20250211,742,844,202,-102,22345.0
20250212,556,1062,171,-506,21839.0
20250213,914,686,190,228,22067.0
20250214,768,828,193,-60,22007.0
20250217,1100,514,176,586,22593.0
20250218,900,690,200,210,22803.0
20250219,968,646,175,322,23125.0
20250220,606,1016,168,-410,22715.0
20250221,860,730,199,130,22845.0
20250224,734,890,166,-156,22689.0
20250225,598,1010,183,-412,22277.0
20250226,836,730,225,106,22383.0
20250227,508,1101,182,-593,21790.0
20250228,244,1406,141,-1162,20628.0
20250303,0,0,1791,0,20628.0
20250304,467,1164,160,-697,19931.0
20250305,1161,466,164,695,20626.0
20250306,564,1033,195,-469,20157.0
20250307,518,1097,177,-579,19578.0
20250310,676,924,192,-248,19330.0
20250311,458,1169,165,-711,18619.0
20250312,1079,532,181,547,19166.0
20250313,531,1085,176,-554,18612.0
20250314,1105,480,207,625,19237.0
20250317,857,750,184,107,19344.0
20250318,733,866,192,-133,19211.0
20250319,688,886,217,-198,19013.0
20250320,453,1162,179,-709,18304.0
20250321,566,1057,172,-491,17813.0
20250324,737,868,191,-131,17682.0
20250325,504,1126,166,-622,17060.0
20250326,912,678,206,234,17294.0
20250327,459,1169,168,-710,16584.0
20250328,334,1307,154,-973,15611.0
20250331,213,1450,131,-1237,14374.0
20250401,1419,232,143,1187,15561.0
20250402,512,1109,173,-597,14964.0
20250403,584,1017,194,-433,14531.0
20250404,987,645,163,342,14873.0
20250407,191,1495,109,-1304,13569.0
20250408,1075,549,171,526,14095.0
20250409,311,1342,142,-1031,13064.0
20250410,1577,97,121,1480,14544.0
20250411,1232,395,168,837,15381.0
20250414,1277,344,174,933,16314.0
20250415,1118,486,191,632,16946.0
20250416,440,1173,182,-733,16213.0
20250417,1199,407,189,792,17005.0
20250418,987,615,193,372,17377.0
20250421,715,872,208,-157,17220.0
20250422,691,905,199,-214,17006.0
20250423,1079,519,197,560,17566.0
20250424,702,895,198,-193,17373.0
20250425,1020,573,202,447,17820.0
20250428,452,1157,187,-705,17115.0
20250429,1056,549,191,507,17622.0
20250430,437,1174,185,-737,16885.0
20250501,0,0,1796,0,16885.0
20250502,753,853,190,-100,16785.0
20250505,0,0,1796,0,16785.0
20250506,0,0,1796,0,16785.0
20250507,953,665,178,288,17073.0
20250508,1035,559,203,476,17549.0
20250509,541,1064,194,-523,17026.0
20250512,1097,539,164,558,17584.0
20250513,861,732,207,129,17713.0
20250514,1041,569,189,472,18185.0
20250515,519,1100,180,-581,17604.0
20250516,473,1172,153,-699,16905.0
20250519,447,1201,151,-754,16151.0
20250520,952,662,186,290,16441.0
20250521,984,626,190,358,16799.0
20250522,507,1119,174,-612,16187.0
20250523,611,1015,175,-404,15783.0
20250526,945,660,194,285,16068.0
20250527,607,1007,185,-400,15668.0
20250528,995,613,191,382,16050.0
20250529,1115,501,184,614,16664.0
20250530,625,983,192,-358,16306.0
20250602,847,763,189,84,16390.0
20250603,0,0,1799,0,16390.0
20250604,1213,417,169,796,17186.0
20250605,1003,613,183,390,17576.0
20250606,0,0,1799,0,17576.0
20250609,1088,554,157,534,18110.0
20250610,785,844,171,-59,18051.0
20250611,1094,514,192,580,18631.0
20250612,756,850,194,-94,18537.0
20250613,254,1415,131,-1161,17376.0
20250616,889,736,174,153,17529.0
20250617,655,954,190,-299,17230.0
20250618,897,716,184,181,17411.0
20250619,712,890,193,-178,17233.0
20250620,942,670,183,272,17505.0
20250623,392,1274,129,-882,16623.0
20250624,1291,349,155,942,17565.0
20250625,697,908,190,-211,17354.0
20250626,341,1299,155,-958,16396.0
20250627,450,1184,161,-734,15662.0
20250630,705,910,181,-205,15457.0
20250701,977,636,183,341,15798.0
20250702,581,1009,206,-428,15370.0
20250703,1185,449,162,736,16106.0
20250704,349,1284,165,-935,15171.0
20250707,627,992,180,-365,14806.0
20250708,970,630,198,340,15146.0
20250709,997,634,166,363,15509.0
20250710,916,682,199,234,15743.0
20250711,863,713,219,150,15893.0
20250714,670,941,183,-271,15622.0
20250715,831,764,200,67,15689.0
20250716,545,1094,156,-549,15140.0
20250717,843,754,198,89,15229.0
20250718,643,971,181,-328,14901.0
20250721,824,800,170,24,14925.0
20250722,392,1248,156,-856,14069.0
20250723,580,1049,168,-469,13600.0
20250724,413,1236,147,-823,12777.0
20250725,653,950,194,-297,12480.0
20250728,491,1138,168,-647,11833.0
20250729,744,852,202,-108,11725.0
20250730,845,767,186,78,11803.0
20250731,837,767,194,70,11873.0
20250801,150,1534,113,-1384,10489.0
20250804,1173,449,175,724,11213.0
20250805,1184,426,187,758,11971.0
20250806,990,591,217,399,12370.0
20250807,860,731,208,129,12499.0
20250808,815,785,199,30,12529.0
20250811,692,951,156,-259,12270.0
20250812,588,1016,195,-428,11842.0
20250813,879,747,173,132,11974.0
20250814,737,879,185,-142,11832.0
20250815,0,0,1801,0,11832.0
20250818,372,1280,150,-908,10924.0
20250819,414,1210,179,-796,10128.0
20250820,370,1263,171,-893,9235.0
