date,open,high,low,close
20230102,683.84,688.77,670.38,671.51
20230103,672.18,675.75,660.32,674.95
20230104,670.18,683.67,667.3,683.67
20230105,685.78,688.35,677.77,679.92
20230106,677.28,691.17,676.4,688.94
20230109,695.02,701.21,695.02,701.21
20230110,700.16,704.6,694.92,696.05
20230111,701.29,710.29,701.29,709.77
20230112,713.56,714.1,707.54,710.82
20230113,712.24,714.75,709.26,711.82
20230116,714.71,718.15,713.19,716.89
20230117,716.7,718.9,708.54,709.71
20230118,711.12,713.28,708.79,711.75
20230119,707.66,712.94,705.76,712.89
20230120,712.32,718.03,712.32,717.97
20230125,725.23,732.42,725.23,732.35
20230126,734.37,740.99,733.23,738.94
20230127,741.2,742.07,737.9,741.25
20230130,743.73,746.33,736.9,738.62
20230131,735.19,740.98,732.33,740.49
20230201,744.9,752.5,744.03,750.96
20230202,759.53,764.84,758.72,764.62
20230203,765.37,768.03,761.82,766.79
20230206,763.66,766.23,760.65,761.33
20230207,762.47,773.79,762.3,772.79
20230208,777.43,779.98,776.3,779.98
20230209,776.6,784.64,776.26,784.58
20230210,783.07,784.52,771.62,772.44
20230213,771.5,774.08,767.64,772.55
20230214,778.05,780.13,774.61,779.58
20230215,782.55,784.38,763.81,765.46
20230216,772.17,784.71,772.16,784.71
20230217,775.03,780.78,772.96,775.62
20230220,777.68,789.26,773.86,788.89
20230221,789.45,793.42,786.48,793.42
20230222,782.83,787.85,774.54,778.51
20230223,782.18,784.59,774.1,783.28
20230224,784.94,786.09,774.21,778.88
20230227,775.01,781.54,769.75,780.3
20230228,784.23,793.65,783.66,791.6
20230302,793.63,797.01,786.52,787.19
20230303,792.9,802.45,792.61,802.42
20230306,810.61,816.62,804.47,816.51
20230307,814.27,818.56,810.47,815.76
20230308,809.14,817.17,807.95,813.95
20230309,817.03,817.12,801.1,809.22
20230310,796.57,798.96,785.66,788.6
20230313,784.02,789.18,771.03,788.89
20230314,788.44,789.22,758.05,758.05
20230315,774.53,784.59,773.65,781.17
20230316,780.53,785.54,767.11,781.98
20230317,791.18,798.62,785.98,797.39
20230320,793.04,803.42,791.45,802.2
20230321,806.51,809.33,802.42,802.53
20230322,811.17,813.43,807.91,813.43
20230323,807.53,824.2,806.4,812.19
20230324,820.16,824.11,814.07,824.11
20230327,827.95,829.18,817.81,827.69
20230328,831.07,833.68,825.4,833.51
20230329,833.9,843.94,832.44,843.94
20230330,850.78,852.59,846.1,850.48
20230331,849.98,851.13,842.61,847.52
20230403,850.86,855.2,847.7,854.96
20230404,853.92,861.13,852.02,857.18
20230405,857.54,872.44,856.15,872.36
20230406,869.65,869.94,859.13,865.58
20230407,871.83,880.07,866.58,880.07
20230410,882.75,890.96,877.31,887.78
20230411,893.2,899.37,879.73,898.94
20230412,897.11,900.83,888.63,890.62
20230413,885.5,895.29,875.42,894.25
20230414,902.56,906.69,900.7,903.84
20230417,905.35,909.5,898.84,909.5
20230418,910.75,910.75,902.9,909.02
20230419,908.87,913.97,907.59,909.2
20230420,905.81,906.0,884.33,885.71
20230421,884.27,888.21,868.36,868.82
20230424,867.38,870.08,852.48,855.23
20230425,857.54,858.91,828.25,838.71
20230426,835.94,846.42,829.19,830.44
20230427,831.89,850.88,823.19,850.21
20230428,860.11,860.11,839.67,842.83
20230502,845.18,855.61,844.68,855.61
20230503,848.05,852.23,841.81,843.18
20230504,842.13,847.69,839.08,845.06
20230508,851.52,854.32,842.07,842.28
20230509,841.41,843.4,827.78,835.85
20230510,836.02,839.86,827.88,829.74
20230511,836.6,840.66,821.94,824.54
