date,dt,new_highs,new_lows,nhnl
20240126,2024-01-26,95,227,-132
20240202,2024-02-02,46,292,-246
20240209,2024-02-09,40,151,-111
20240216,2024-02-16,87,35,52
20240223,2024-02-23,104,91,13
20240301,2024-03-01,50,233,-183
20240308,2024-03-08,97,471,-374
20240315,2024-03-15,104,248,-144
20240322,2024-03-22,121,238,-117
20240329,2024-03-29,119,155,-36
20240405,2024-04-05,116,324,-208
20240412,2024-04-12,47,540,-493
20240419,2024-04-19,65,726,-661
20240426,2024-04-26,84,291,-207
20240503,2024-05-03,73,55,18
20240510,2024-05-10,80,40,40
20240517,2024-05-17,93,89,4
20240524,2024-05-24,114,298,-184
20240531,2024-05-31,103,407,-304
20240607,2024-06-07,78,188,-110
20240614,2024-06-14,123,333,-210
20240621,2024-06-21,100,652,-552
20240628,2024-06-28,84,797,-713
20240705,2024-07-05,54,796,-742
20240712,2024-07-12,69,250,-181
20240719,2024-07-19,48,480,-432
20240726,2024-07-26,48,1049,-1001
20240802,2024-08-02,56,694,-638
20240809,2024-08-09,37,989,-952
20240816,2024-08-16,44,62,-18
20240823,2024-08-23,64,112,-48
20240830,2024-08-30,37,235,-198
20240906,2024-09-06,16,847,-831
20240913,2024-09-13,20,566,-546
20240920,2024-09-20,28,80,-52
20240927,2024-09-27,54,89,-35
20241004,2024-10-04,40,93,-53
20241011,2024-10-11,63,140,-77
20241018,2024-10-18,75,340,-265
20241025,2024-10-25,42,767,-725
20241101,2024-11-01,29,366,-337
20241108,2024-11-08,42,224,-182
20241115,2024-11-15,37,1979,-1942
20241122,2024-11-22,34,596,-562
20241129,2024-11-29,27,361,-334
20241206,2024-12-06,38,1479,-1441
20241213,2024-12-13,81,814,-733
20241220,2024-12-20,51,58,-7
20241227,2024-12-27,33,128,-95
20250103,2025-01-03,42,48,-6
20250110,2025-01-10,79,38,41
20250117,2025-01-17,67,80,-13
20250124,2025-01-24,65,172,-107
20250131,2025-01-31,12,40,-28
20250207,2025-02-07,68,205,-137
20250214,2025-02-14,82,154,-72
20250221,2025-02-21,92,128,-36
20250228,2025-02-28,73,135,-62
20250307,2025-03-07,55,207,-152
20250314,2025-03-14,55,225,-170
20250321,2025-03-21,49,195,-146
20250328,2025-03-28,49,301,-252
20250404,2025-04-04,63,460,-397
20250411,2025-04-11,98,719,-621
20250418,2025-04-18,130,11,119
20250425,2025-04-25,135,17,118
20250502,2025-05-02,93,25,68
20250509,2025-05-09,75,24,51
20250516,2025-05-16,130,48,82
20250523,2025-05-23,137,121,16
20250530,2025-05-30,150,57,93
20250606,2025-06-06,156,15,141
20250613,2025-06-13,297,31,266
20250620,2025-06-20,276,78,198
20250627,2025-06-27,204,92,112
20250704,2025-07-04,146,66,80
20250711,2025-07-11,205,41,164
20250718,2025-07-18,196,35,161
20250725,2025-07-25,87,64,23
20250801,2025-08-01,53,171,-118
20250808,2025-08-08,99,77,22
20250815,2025-08-15,98,47,51
20250822,2025-08-22,95,169,-74
20250829,2025-08-29,138,102,36
20250905,2025-09-05,138,147,-9
20250912,2025-09-12,268,36,232
20250919,2025-09-19,277,58,219
20250926,2025-09-26,212,204,8
20251003,2025-10-03,163,161,2
20251010,2025-10-10,78,78,0
20251017,2025-10-17,177,236,-59
20251024,2025-10-24,142,192,-50
20251031,2025-10-31,159,405,-246
20251107,2025-11-07,149,606,-457
20251114,2025-11-14,147,140,7
20251121,2025-11-21,119,479,-360
20251128,2025-11-28,135,279,-144
20251205,2025-12-05,260,76,184
20251212,2025-12-12,193,112,81
20251219,2025-12-19,163,232,-69
20251226,2025-12-26,149,232,-83
20260102,2026-01-02,120,127,-7
20260109,2026-01-09,227,403,-176
20260116,2026-01-16,220,340,-120
20260123,2026-01-23,303,246,57
20260130,2026-01-30,571,65,506
20260206,2026-02-06,353,229,124
20260213,2026-02-13,333,120,213
20260220,2026-02-20,221,161,60
20260227,2026-02-27,394,319,75
20260306,2026-03-06,120,699,-579
20260313,2026-03-13,250,130,120
20260320,2026-03-20,242,99,143
20260327,2026-03-27,228,108,120
20260403,2026-04-03,154,217,-63
20260410,2026-04-10,195,166,29
20260417,2026-04-17,455,7,448
20260424,2026-04-24,377,16,361
20260501,2026-05-01,141,16,125
20260508,2026-05-08,76,21,55
20260515,2026-05-15,35,43,-8
