date,new_highs,new_lows,nhnl
20240123,25,36,-11
20240124,29,60,-31
20240125,23,94,-71
20240126,18,37,-19
20240129,8,60,-52
20240130,11,49,-38
20240131,6,90,-84
20240201,8,75,-67
20240202,13,18,-5
20240205,13,38,-25
20240206,13,56,-43
20240207,8,35,-27
20240208,6,22,-16
20240213,22,9,13
20240214,25,9,16
20240215,21,8,13
20240216,19,9,10
20240219,19,8,11
20240220,16,8,8
20240221,16,15,1
20240222,27,24,3
20240223,26,36,-10
20240226,12,40,-28
20240227,11,71,-60
20240228,18,45,-27
20240229,9,77,-68
20240304,22,84,-62
20240305,18,92,-74
20240306,20,102,-82
20240307,15,121,-106
20240308,22,72,-50
20240311,25,46,-21
20240312,22,63,-41
20240313,17,51,-34
20240314,20,41,-21
20240315,20,47,-27
20240318,23,50,-27
20240319,20,81,-61
20240320,25,56,-31
20240321,31,24,7
20240322,22,27,-5
20240325,27,26,1
20240326,26,20,6
20240327,19,32,-13
20240328,23,30,-7
20240329,24,47,-23
20240401,29,19,10
20240402,20,41,-21
20240403,22,86,-64
20240404,22,69,-47
20240405,23,109,-86
20240408,14,161,-147
20240409,8,100,-92
20240411,12,159,-147
20240412,13,120,-107
20240415,14,189,-175
20240416,5,258,-253
20240417,15,163,-148
20240418,25,16,9
20240419,6,100,-94
20240422,8,70,-62
20240423,11,68,-57
20240424,21,31,-10
20240425,17,55,-38
20240426,27,67,-40
20240429,23,20,3
20240430,16,13,3
20240502,22,12,10
20240503,12,10,2
20240507,29,13,16
20240508,17,8,9
20240509,16,9,7
20240510,18,10,8
20240513,22,28,-6
20240514,22,10,12
20240516,32,13,19
20240517,17,38,-21
20240520,20,50,-30
20240521,27,62,-35
20240522,26,57,-31
20240523,19,55,-36
20240524,22,74,-52
20240527,23,74,-51
20240528,27,43,-16
20240529,16,83,-67
20240530,19,121,-102
20240531,18,86,-68
20240603,23,32,-9
20240604,14,50,-36
20240605,15,53,-38
20240607,26,53,-27
20240610,27,54,-27
20240611,23,59,-36
20240612,24,47,-23
20240613,29,66,-37
20240614,20,107,-87
20240617,15,124,-109
20240618,32,134,-102
20240619,22,136,-114
20240620,13,90,-77
20240621,18,168,-150
20240624,16,248,-232
20240625,17,152,-135
20240626,15,129,-114
20240627,19,177,-158
20240628,17,91,-74
20240701,13,62,-49
20240702,10,167,-157
20240703,12,218,-206
20240704,9,193,-184
20240705,10,156,-146
20240708,13,57,-44
20240709,17,40,-23
20240710,13,58,-45
20240711,12,43,-31
20240712,14,52,-38
20240715,13,37,-24
20240716,7,75,-68
20240717,11,97,-86
20240718,5,158,-153
20240719,12,113,-101
20240722,10,235,-225
20240723,8,208,-200
20240724,13,178,-165
20240725,3,272,-269
20240726,14,156,-142
20240729,15,80,-65
