date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10
20250102,455,427,79,28,50028.0,0.5158730158730159
20250103,691,206,64,485,50513.0,0.5621407577929317
20250106,630,259,72,371,50884.0,0.5887808777074595
20250107,446,428,87,18,50902.0,0.5745111695492902
20250108,460,411,90,49,50951.0,0.5660779728730702
20250109,364,521,76,-157,50794.0,0.537936420537648
20250110,463,410,88,53,50847.0,0.536557998142695
20250113,262,640,59,-378,50469.0,0.4918139315583952
20250114,513,364,84,149,50618.0,0.5087475237680537
20250115,270,597,94,-327,50291.0,0.4728695531049725
20250116,600,281,80,319,50610.0,0.510719501245416
20250117,435,448,78,-13,50597.0,0.5074320885820365
20250120,389,491,81,-102,50495.0,0.4955436096662943
20250121,388,487,86,-99,50396.0,0.4860681481685264
20250122,403,483,75,-80,50316.0,0.4803927163447393
20250123,191,700,70,-509,49807.0,0.4320242008334317
20250124,545,323,93,222,50029.0,0.4676343796513164
20250131,335,563,63,-228,49801.0,0.4504374424318625
20250203,96,825,40,-729,49072.0,0.3874914579328505
20250204,693,209,59,484,49556.0,0.4567280442953921
20250205,590,303,69,287,49843.0,0.4938128160441887
20250206,599,282,81,317,50160.0,0.5276485211448119
20250207,291,601,70,-310,49850.0,0.4910275507287555
20250210,416,458,88,-42,49808.0,0.4882902760591212
20250211,472,410,80,62,49870.0,0.4968097517375081
20250212,333,555,74,-222,49648.0,0.4746625241488703
20250213,573,312,77,261,49909.0,0.50607981559792
20250214,498,367,97,131,50040.0,0.5187421297351348
20250217,620,267,75,353,50393.0,0.5515136232115999
20250218,480,398,84,82,50475.0,0.5506378805775587
20250219,575,306,81,269,50744.0,0.5691887065420971
20250220,452,417,93,35,50779.0,0.5602704125814145
20250221,510,371,81,139,50918.0,0.5636553607840301
20250224,451,423,87,28,50946.0,0.5549940782116892
20250225,360,530,71,-170,50776.0,0.527630497086377
20250226,545,337,79,208,50984.0,0.5440456489251351
20250227,322,566,73,-244,50740.0,0.5110578241410401
20250228,95,836,30,-741,49999.0,0.4366910954474928
20250304,311,594,56,-283,49716.0,0.4197738797006358
20250305,716,180,65,536,50252.0,0.4887435639109098
20250306,486,395,80,91,50343.0,0.5001803444690541
20250307,351,542,68,-191,50152.0,0.4807033929041828
20250310,408,469,84,-61,50091.0,0.4778886576337425
20250311,181,733,47,-552,49539.0,0.4270053807136628
20250312,511,354,96,157,49696.0,0.4567773924178523
20250313,333,540,88,-207,49489.0,0.4430802845180741
20250314,510,359,93,151,49640.0,0.4692259551434101
