date,open,high,low,close
20230102,2249.95,2259.88,2222.37,2225.67
20230103,2230.98,2230.98,2180.67,2218.68
20230104,2205.98,2260.06,2198.82,2255.98
20230105,2268.2,2281.39,2252.97,2264.65
20230106,2253.4,2300.62,2253.27,2289.97
20230109,2315.87,2351.06,2312.56,2350.19
20230110,2348.04,2370.18,2344.18,2351.31
20230111,2364.05,2369.66,2350.36,2359.53
20230112,2376.72,2377.8,2358.33,2365.1
20230113,2377.34,2397.01,2375.78,2386.09
20230116,2390.06,2410.22,2387.61,2399.86
20230117,2400.92,2404.0,2374.65,2379.39
20230118,2380.36,2383.0,2356.84,2368.32
20230119,2354.56,2380.34,2354.56,2380.34
20230120,2380.0,2395.97,2372.57,2395.26
20230125,2426.58,2432.71,2421.51,2428.57
20230126,2436.18,2468.65,2426.4,2468.65
20230127,2474.52,2497.4,2464.53,2484.02
20230130,2484.64,2491.13,2446.59,2450.47
20230131,2449.92,2457.48,2423.37,2425.08
20230201,2446.03,2453.29,2433.37,2449.8
20230202,2481.94,2486.2,2454.6,2468.88
20230203,2466.54,2485.08,2460.21,2480.4
20230206,2461.82,2469.42,2438.04,2438.19
20230207,2440.14,2456.17,2432.4,2451.71
20230208,2469.42,2487.35,2465.96,2483.64
20230209,2470.66,2487.14,2466.61,2481.52
20230210,2470.65,2473.8,2454.74,2469.73
20230213,2461.96,2462.58,2440.86,2452.7
20230214,2471.33,2480.34,2459.83,2465.64
20230215,2473.09,2473.44,2424.16,2427.9
20230216,2444.06,2475.99,2442.07,2475.48
20230217,2447.66,2471.51,2445.74,2451.21
20230220,2453.25,2463.17,2430.27,2455.12
20230221,2457.51,2466.07,2446.0,2458.96
20230222,2430.87,2435.98,2416.16,2417.68
20230223,2430.01,2449.62,2422.62,2439.09
20230224,2442.49,2452.97,2421.47,2423.61
20230227,2405.42,2405.56,2383.76,2402.64
20230228,2417.58,2431.67,2407.29,2412.85
20230302,2414.61,2440.59,2411.85,2427.85
20230303,2438.73,2442.1,2423.08,2432.07
20230306,2452.46,2464.45,2441.07,2462.62
20230307,2457.04,2475.73,2455.65,2463.35
20230308,2435.58,2442.61,2426.52,2431.91
20230309,2440.79,2444.2,2416.25,2419.09
20230310,2389.82,2400.87,2383.19,2394.59
20230313,2400.45,2413.24,2369.79,2410.6
20230314,2390.36,2390.78,2348.19,2348.97
20230315,2380.09,2395.36,2370.77,2379.72
20230316,2357.98,2382.79,2346.11,2377.91
20230317,2403.7,2405.35,2382.8,2395.69
20230320,2391.87,2405.99,2378.7,2379.2
20230321,2396.54,2399.52,2383.17,2388.35
20230322,2411.25,2417.47,2402.78,2416.96
20230323,2398.27,2424.48,2397.91,2424.48
20230324,2421.27,2423.76,2399.49,2414.96
