date,dt,new_highs,new_lows,nhnl
20240126,2024-01-26,41,225,-184
20240202,2024-02-02,177,75,102
20240209,2024-02-09,138,30,108
20240216,2024-02-16,113,14,99
20240223,2024-02-23,152,36,116
20240301,2024-03-01,44,83,-39
20240308,2024-03-08,141,204,-63
20240315,2024-03-15,84,99,-15
20240322,2024-03-22,85,90,-5
20240329,2024-03-29,73,81,-8
20240405,2024-04-05,64,125,-61
20240412,2024-04-12,65,229,-164
20240419,2024-04-19,61,373,-312
20240426,2024-04-26,67,77,-10
20240503,2024-05-03,76,40,36
20240510,2024-05-10,93,22,71
20240517,2024-05-17,128,32,96
20240524,2024-05-24,127,115,12
20240531,2024-05-31,86,177,-91
20240607,2024-06-07,58,63,-5
20240614,2024-06-14,126,139,-13
20240621,2024-06-21,114,223,-109
20240628,2024-06-28,91,242,-151
20240705,2024-07-05,53,273,-220
20240712,2024-07-12,77,111,-34
20240719,2024-07-19,76,178,-102
20240726,2024-07-26,70,407,-337
20240802,2024-08-02,99,250,-151
20240809,2024-08-09,28,456,-428
20240816,2024-08-16,42,32,10
20240823,2024-08-23,110,39,71
20240830,2024-08-30,73,51,22
20240906,2024-09-06,28,245,-217
20240913,2024-09-13,23,204,-181
20240920,2024-09-20,32,31,1
20240927,2024-09-27,33,36,-3
20241004,2024-10-04,15,48,-33
20241011,2024-10-11,45,52,-7
20241018,2024-10-18,66,115,-49
20241025,2024-10-25,56,343,-287
20241101,2024-11-01,38,147,-109
20241108,2024-11-08,47,152,-105
20241115,2024-11-15,31,941,-910
20241122,2024-11-22,32,217,-185
20241129,2024-11-29,59,175,-116
20241206,2024-12-06,46,627,-581
20241213,2024-12-13,61,406,-345
20241220,2024-12-20,42,31,11
20241227,2024-12-27,30,56,-26
20250103,2025-01-03,22,68,-46
20250110,2025-01-10,48,22,26
20250117,2025-01-17,46,115,-69
20250124,2025-01-24,64,148,-84
20250131,2025-01-31,12,36,-24
20250207,2025-02-07,54,185,-131
20250214,2025-02-14,77,119,-42
20250221,2025-02-21,105,28,77
20250228,2025-02-28,64,54,10
20250307,2025-03-07,61,91,-30
20250314,2025-03-14,59,122,-63
20250321,2025-03-21,57,103,-46
20250328,2025-03-28,24,184,-160
20250404,2025-04-04,32,410,-378
20250411,2025-04-11,45,552,-507
20250418,2025-04-18,65,19,46
20250425,2025-04-25,113,13,100
20250502,2025-05-02,137,8,129
20250509,2025-05-09,106,11,95
20250516,2025-05-16,228,26,202
20250523,2025-05-23,202,105,97
20250530,2025-05-30,328,28,300
20250606,2025-06-06,272,3,269
20250613,2025-06-13,438,2,436
20250620,2025-06-20,300,15,285
20250627,2025-06-27,267,25,242
20250704,2025-07-04,239,12,227
20250711,2025-07-11,482,5,477
20250718,2025-07-18,290,3,287
20250725,2025-07-25,61,14,47
20250801,2025-08-01,55,45,10
20250808,2025-08-08,68,16,52
20250815,2025-08-15,51,12,39
20250822,2025-08-22,55,58,-3
20250829,2025-08-29,89,53,36
20250905,2025-09-05,64,54,10
20250912,2025-09-12,153,9,144
20250919,2025-09-19,144,23,121
20250926,2025-09-26,67,91,-24
20251003,2025-10-03,67,53,14
20251010,2025-10-10,32,27,5
20251017,2025-10-17,78,66,12
20251024,2025-10-24,157,49,108
20251031,2025-10-31,198,106,92
20251107,2025-11-07,100,196,-96
20251114,2025-11-14,146,26,120
20251121,2025-11-21,91,128,-37
20251128,2025-11-28,84,68,16
20251205,2025-12-05,169,25,144
20251212,2025-12-12,142,30,112
20251219,2025-12-19,102,43,59
20251226,2025-12-26,69,45,24
20260102,2026-01-02,61,62,-1
20260109,2026-01-09,114,184,-70
20260116,2026-01-16,192,79,113
20260123,2026-01-23,221,87,134
20260130,2026-01-30,258,38,220
20260206,2026-02-06,246,61,185
20260213,2026-02-13,471,24,447
20260220,2026-02-20,292,23,269
20260227,2026-02-27,468,55,413
20260306,2026-03-06,42,203,-161
20260313,2026-03-13,68,86,-18
20260320,2026-03-20,143,53,90
20260327,2026-03-27,67,43,24
20260403,2026-04-03,60,94,-34
20260410,2026-04-10,119,46,73
20260417,2026-04-17,203,7,196
20260424,2026-04-24,288,14,274
20260501,2026-05-01,244,11,233
20260508,2026-05-08,178,61,117
20260515,2026-05-15,120,151,-31
20260522,2026-05-22,55,250,-195
20260529,2026-05-29,85,337,-252
