date,new_highs,new_lows,nhnl
20240122,9,66,-57
20240123,6,40,-34
20240124,4,55,-51
20240125,10,47,-37
20240126,12,17,-5
20240129,24,16,8
20240130,25,13,12
20240131,22,24,-2
20240201,55,19,36
20240202,51,3,48
20240205,33,7,26
20240206,16,14,2
20240207,45,6,39
20240208,44,3,41
20240213,46,1,45
20240214,23,4,19
20240215,11,7,4
20240216,33,2,31
20240219,63,4,59
20240220,26,6,20
20240221,15,7,8
20240222,18,7,11
20240223,30,12,18
20240226,11,15,-4
20240227,11,29,-18
20240228,10,13,-3
20240229,12,26,-14
20240304,37,24,13
20240305,30,51,-21
20240306,29,50,-21
20240307,21,54,-33
20240308,24,25,-1
20240311,10,23,-13
20240312,8,26,-18
20240313,18,16,2
20240314,30,16,14
20240315,18,18,0
20240318,13,15,-2
20240319,11,32,-21
20240320,12,22,-10
20240321,24,10,14
20240322,25,11,14
20240325,17,20,-3
20240326,18,16,2
20240327,14,15,-1
20240328,14,11,3
20240329,10,19,-9
20240401,12,6,6
20240402,11,17,-6
20240403,10,28,-18
20240404,21,29,-8
20240405,10,45,-35
20240408,13,59,-46
20240409,15,49,-34
20240411,18,68,-50
20240412,19,53,-34
20240415,19,91,-72
20240416,6,144,-138
20240417,5,78,-73
20240418,17,10,7
20240419,14,50,-36
20240422,12,15,-3
20240423,13,16,-3
20240424,10,9,1
20240425,12,18,-6
20240426,20,19,1
20240429,25,8,17
20240430,17,11,6
20240502,20,12,8
20240503,14,9,5
20240507,23,8,15
20240508,19,3,16
20240509,21,7,14
20240510,30,4,26
20240513,41,9,32
20240514,19,3,16
20240516,41,7,34
20240517,27,13,14
20240520,36,15,21
20240521,30,23,7
20240522,31,23,8
20240523,15,19,-4
20240524,15,35,-20
20240527,26,30,-4
20240528,21,19,2
20240529,12,45,-33
20240530,10,49,-39
20240531,17,34,-17
20240603,23,11,12
20240604,15,19,-4
20240605,10,14,-4
20240607,10,19,-9
20240610,23,29,-6
20240611,14,27,-13
20240612,22,22,0
20240613,27,25,2
20240614,40,36,4
20240617,27,41,-14
20240618,32,48,-16
20240619,17,54,-37
20240620,23,29,-6
20240621,15,51,-36
20240624,13,71,-58
20240625,21,38,-17
20240626,18,44,-26
20240627,19,61,-42
20240628,20,28,-8
20240701,13,20,-7
20240702,4,59,-55
20240703,7,88,-81
20240704,13,65,-52
20240705,16,41,-25
20240708,12,26,-14
20240709,18,20,-2
20240710,15,25,-10
20240711,22,24,-2
20240712,10,16,-6
20240715,19,17,2
20240716,23,33,-10
20240717,20,32,-12
20240718,10,47,-37
20240719,4,49,-45
20240722,7,85,-78
20240723,14,81,-67
20240724,19,83,-64
20240725,4,112,-108
20240726,26,46,-20
20240729,30,24,6
20240730,19,79,-60
20240731,20,36,-16
20240801,28,10,18
20240802,2,101,-99
20240805,2,380,-378
20240806,3,31,-28
20240807,6,10,-4
20240808,9,26,-17
20240809,8,9,-1
20240812,11,5,6
20240813,10,11,-1
20240814,8,7,1
20240816,13,9,4
20240819,19,16,3
20240820,25,8,17
20240821,24,4,20
20240822,11,6,5
20240823,31,5,26
20240826,28,8,20
20240827,16,9,7
20240828,11,12,-1
20240829,11,13,-2
20240830,7,9,-2
20240902,3,11,-8
20240903,12,11,1
20240904,4,60,-56
20240905,4,53,-49
20240906,5,110,-105
20240909,3,52,-49
20240910,4,70,-66
20240911,2,68,-66
20240912,5,6,-1
20240913,9,8,1
20240919,11,17,-6
20240920,21,14,7
20240923,10,16,-6
20240924,9,3,6
20240925,4,10,-6
20240926,5,2,3
20240927,5,5,0
20240930,2,13,-11
20241002,4,23,-19
20241004,9,12,-3
20241007,9,4,5
20241008,3,13,-10
20241010,16,16,0
20241011,17,19,-2
20241014,12,16,-4
20241015,14,15,-1
20241016,18,27,-9
20241017,12,21,-9
20241018,10,36,-26
20241021,14,31,-17
20241022,14,70,-56
20241023,5,49,-44
20241024,9,82,-73
20241025,14,111,-97
20241028,8,25,-17
20241029,6,33,-27
20241030,12,30,-18
20241031,10,22,-12
20241101,2,37,-35
20241104,9,17,-8
20241105,9,8,1
20241106,10,39,-29
20241107,7,46,-39
20241108,12,42,-30
20241111,13,130,-117
20241112,5,220,-215
20241113,1,277,-276
20241114,8,194,-186
20241115,4,120,-116
20241118,4,44,-40
20241119,7,41,-34
20241120,10,53,-43
20241121,2,47,-45
20241122,9,32,-23
20241125,11,20,-9
20241126,10,28,-18
20241127,19,34,-15
20241128,13,18,-5
20241129,6,75,-69
20241202,6,116,-110
20241203,20,31,-11
20241204,7,113,-106
20241205,8,168,-160
20241206,5,199,-194
20241209,5,390,-385
20241210,10,10,0
20241211,18,4,14
20241212,11,2,9
20241213,17,0,17
20241216,8,3,5
20241217,8,4,4
20241218,11,2,9
20241219,9,5,4
20241220,6,17,-11
20241223,11,1,10
20241224,8,5,3
20241226,10,17,-7
20241227,1,33,-32
20241230,4,25,-21
20250102,9,39,-30
20250103,9,4,5
20250106,5,1,4
20250107,9,0,9
20250108,11,6,5
20250109,11,8,3
20250110,12,7,5
20250113,10,28,-18
20250114,6,17,-11
20250115,10,32,-22
20250116,9,21,-12
20250117,11,17,-6
20250120,7,21,-14
20250121,14,29,-15
20250122,15,26,-11
20250123,12,39,-27
20250124,16,33,-17
20250131,12,36,-24
20250203,5,115,-110
20250204,8,37,-29
20250205,11,10,1
20250206,18,6,12
20250207,12,17,-5
20250210,9,29,-20
20250211,12,26,-14
20250212,19,31,-12
20250213,16,17,-1
20250214,21,16,5
20250217,25,11,14
20250218,23,12,11
20250219,17,3,14
20250220,17,2,15
20250221,23,0,23
20250224,13,3,10
20250225,19,5,14
20250226,17,4,13
20250227,11,4,7
20250228,4,38,-34
20250304,9,48,-39
20250305,18,9,9
20250306,21,12,9
20250307,13,22,-9
20250310,17,16,1
20250311,6,42,-36
20250312,11,22,-11
20250313,16,23,-7
20250314,9,19,-10
20250317,17,22,-5
20250318,12,20,-8
20250319,10,13,-3
